station,x,y
Oberlaa,1752,1768
Neulaa,1664,1768
Altes Landgut,1538,1646
Troststraáe,1538,1548
Reumannplatz,1539,1469
Keplerplatz,15391377
Sdtiroler Platz-Hauptbahnhof,1539,1289
Taubstummengasse,1539,1199
Karlsplatz,1541,1109
Stephansplatz,1534,861
Schwedenplatz,1656,685
Nestroyplatz,1710,633
Praterstern,1785,587
Donauinsel,1910,455
Vorgartenstraáe,1848,497
Alte Donau,2026,325
Kagran,2082,272
Kagraner Platz,2134,226
Rennbahnweg,2182,180
Aderklaaer Straáe,2228,130
Groáfeldsiedlung,2274,75
Leopoldau,2324,27
Karlsplatz,1542,2089
Museumsquartier,1349,999
Volkstheater,1349,866
Rathaus,1349,754
Schottentor,1434,670
Schottenring,1535,574
Taborstraáe,1655,568
Praterstern,1772,572
Messe-Prater,1928,570
Krieau,2014,645
Stadion,2090,717
Donaumarina,2218,763
Donaustadtbrcke,2264,688
Hardeggasse,2355,560
Stadlau,2307,617
Donauspital,2484,560
Ottakring,3086,609
Kendlerstraáe,476,644
Htteldorfer Straáe,564,695
Johnstraáe,647,695
Schweglerstraáe,647,735
Westbahnhof,750,788
Zieglergasse,909,871
Neubaugasse,1068,860
Volkstheater,1195,860
Herrengasse,1352,875
Stephansplatz,1435,869
Stubentor,1546,875
Landstraáe-Wien Mitte,1634,876
Rochusgasse,1754,868
Kardinal-Nagl-Platz,1838,924
Schlachthausgasse,1999,1036
Erdberg,1998,1036
Htteldorf,29,1112
Ober St. Veit,147,1112
Unter St. Veit,248,1112
Braunschweiggasse,357,1112
Hietzing,488,1112
Sch”nbrunn,613,1112
Meidling Hauptstraáe,734,1112
L„ngenfeldgasse,911,1112
Margaretengrtel,1068,1112
Pilgramgasse,1192,1112
Kettenbrckengasse,1363,1112
Karlsplatz,1549,1112
Stadtpark,1709,1022
Landstraáe-Wien Mitte,1748,869
Schwedenplatz,1656,685
Schottenring,1535,574
Roáauer L„nde,1456,491
Friedensbrcke,1368,402
Spittelau,1200,232
Heiligenstadt,1195,29
Siebenhirten,910,1731
Perfektastraáe,910,1649
Erlaaer Straáe,910,1577
Alterlaa,910,1502
Am Sch”pfwerk,910,1428
Tscherttegasse,910,1352
Philadelphiabrcke-Meidling Bahnhof,910,1283
Gumpendorfer Straáe,910,981
Westbahnhof,910,863
Burggasse-Stadthalle,910,771
Thaliastraáe,910,706
Josefst„dter Straáe,910,634
Alser Straáe,910,566
Michelbeuern-AKH,910,482
W„hringer Straáe-Volksoper,910,370
Nussdorfer Straáe,1038,237
Spittelau,1195,237
J„gerstraáe,1312,237
Dresdner Straáe,1405,237
Handelskai,1524,237